AIDS  n.爱滋病(获得性免疫缺陷综合征)
sit  vi.坐
situation  n.情形
six  num.六
sixteen  num.十六
sixteenth  num.第十六
sixth  num.第六
sixty  num.六十
size  n.大小
skate  n.溜冰
skateboard  n.溜冰板
ski  n.滑雪橇
skill  n.技术
skilled  a.熟练的
skillful  a.熟练的
skillfully  adv.巧妙地
skin  n.皮肤
skip  n.跳跃
skirt  n.裙子
sky  n.天空
skyscraper  n.摩天楼
slave  n.奴隶
slavery  n.奴隶的身分
sleep  n.睡眠
sleepy  a.困乏的
sleeve  n.袖子
slice  n.薄的切片
slide  n.滑
slight  n.轻蔑
slim  a.瘦的
slip  n.滑
slow  a.慢的
small  a.小的
smart  a.聪明的
smell  n.味道
smelly  a.发臭的
smile  n.微笑
smog  n.烟雾
smoke  n.烟
smoker  n.吸烟者
smoking  n.抽烟
smooth  a.平滑的
snack  n.小吃
snake  n.蛇
snatch  n.抢夺
sneaker  n.鬼鬼祟祟做事的人
sneeze  n.喷嚏
sniff  n.以鼻吸气
snow  n.雪
snowball  n.雪球
snowman  n.雪人
snowy  a.多雪的
so  adv.如此
soap  n.肥皂
sob  vi.啜泣
soccer  n.英式足球
social  a.社会的
socialism  n.社会主义
socialist  n.社会主义者
society  n.社会
sock  n.短袜
socket  n.窝
sofa  n.沙发
soft  a.软的
softball  n.垒球运动
software  n.软件
soil  n.土壤
solar  a.太阳的
soldier  n.军人
solid  n.固体
some  pron.一些
somebody  n.了不起的人
someone  pron.有人
something  pron.某事
sometimes  adv.有时
somewhere  adv.到某处
son  n.儿子
song  n.歌
soon  adv.不久
sorrow  n.悲伤
sorry  a.难过的
sort  n.种类
soul  n.灵魂
sound  n.声音
soup  n.汤
sour  a.酸的
south  n.南方
southeast  n.东南
southern  n.南方人
southwest  n.西南
souvenirs  n.纪念品( souvenir的名词复数 )
sow  n.母猪
space  n.位置
spaceship  n.宇宙飞船
spade  n.铲子
spare  n.剩余
sparrow  n.麻雀
speak  vi.说
speaker  n.说话人
spear  n.矛
special  n.专辑
specialist  n.专门医师
specific  n.特效药
speech  n.演讲
speed  n.速率
spell  n.符咒
spelling  n.拼
spend  vt.花费
spin  n.旋转
spirit  n.精神
spiritual  a.精神上的
spit  n.唾液
splendid  a.光亮的
split  n.劈开
spoken  a.口头讲的
sponsor  n.保证人
spoon  n.匙
spoonful  n.一匙
sport  n.运动
spot  n.污点
spray  n.水沫
spread  n.传播
spring  n.春天
spy  n.间谍
square  n.正方形
squeeze  n.紧握
squid  n.枪乌贼
squirrel  n.松鼠
stable  n.马房
stadium  n.露天大型运动场
staff  n.全体人员
stage  n.阶段
stain  n.污染
stainless  a.无瑕疵的
stair  n.梯级
stairs  n.楼梯
stamp  n.印
stand  n.站立
standard  n.标准
star  n.星
stare  vi.注视
start  n.惊起
starvation  n.饥饿
starve  v.(使)饿死
state  n.州
statement  n.陈述
station  n.车站
statistics  n.统计学
statue  vt.以雕像装饰
status  n.状态
stay  n.停留
steady  a.稳定的
steak  n.牛排
steal  vt.剽窃
steam  n.蒸汽
steel  n.钢
steep  n.浸渍
step  n.步骤
steward  n.管理人
stewardess  n.空中小姐
stick  n.棍
still  n.蒸馏室
stocking  n.长袜
stomach  n.胃
stomachache  n.胃痛
stone  n.石头
stop  n.停止
stopwatch  n.计时表
storage  n.存储器
store  n.商店
storm  n.暴风雨
story  n.故事
stout  a.结实的
stove  n.火炉
straight  n.直线
straightforward  a.笔直的
strait  n.海峡
strange  a.奇怪的
stranger  n.陌生人
straw  n.稻草
strawberry  n.草莓
stream  n.水流
street  n.街道
strength  n.力量
strengthen  vt.加强
stress  n.压力
strict  a.严厉的
strike  n.罢工
string  n.线
strong  a.强壮的
struggle  n.斗争
stubborn  a.顽固的
student  n.学生
studio  n.工作室
study  n.学习
stupid  a.愚蠢的
style  n.风格
subject  n.科目
subjective  a.主观的
submit  vt.使服从
subscribe  vt.捐献
substitute  n.代理
subtraction  n.减少
succeed  vi.成功
success  n.成功
successful  a.成功的
such  a.如此的
suck  vt.吸
sudden  n.突然
suffer  vt.遭受
suffering  n.苦难
sugar  n.糖
suggest  vt.提议
suggestion  n.提议
suit  n.套装
suitable  a.适当的
suitcase  n.手提箱
suite  n.随员
summary  n.摘要
summer  n.夏季
sun  n.太阳
sunburnt  a.晒黑的
sunglasses  n.太阳镜
sunlight  n.日光
sunny  a.阳光充足的
sunrise  n.日出
sunset  n.日落
sunshine  n.阳光
super  n.跑龙套角色
superb  a.极度的
superior  n.长者
superman  n.具有超人能力的人
supermarket  n.超级市场
supper  n.晚餐
supply  n.补给
support  n.支持
suppose  vt.推想
supreme  n.至高
sure  a.确信
surface  n.面
surgeon  n.外科医生
surplus  n.剩余
surprise  n.惊奇
surround  vt.包围
surrounding  n.环境
survival  n.生存
survive  vt.比...活得长
suspect  n.被怀疑者
suspension  n.悬挂
swallow  n.燕子
swap  n.以货易货
swear  vt.发誓
sweat  n.汗
sweater  n.毛衣
sweep  n.扫除
sweet  n.甜蜜
swell  n.增大
swift  n.褐雨燕
swim  n.游泳
swimming  n.游泳
swing  n.摇摆
switch  n.开关
sword  n.刀
symbol  n.符号
sympathy  n.同情
symphony  n.交响乐
symptom  n.症状
system  n.系统
systematic  a.有系统的
table  n.桌子
tail  n.尾部
tailor  n.裁缝
take  vt.拿
tale  n.故事
talent  n.天才
talk  n.谈话
tall  a.高的
tank  n.槽
tanker  n.坦克手
tap  n.轻打
tape  n.带子
target  n.目标
task  n.工作
taste  n.味道
tasteless  a.没味道的
tasty  a.好吃的
tax  n.税
taxi  n.出租车
tea  n.茶
teach  vt.教
teacher  n.教师
team  n.队
teamwork  n.协同作业
teapot  n.茶壶
tear  n.泪滴
tease  n.揶揄
technical  a.技术上的
technique  n.技巧
technology  n.技术
teenager  n.十三岁到十九岁的少年
telegram  n.电报
telegraph  n.电报
telephone  n.电话
telescope  n.望远镜
television  n.电视
tell  vt.告诉
temperature  n.温度
temple  n.圣堂
temporary  a.暂时的
temptation  n.诱惑
ten  num.十
tend  vi.走向
tendency  n.趋向
tennis  n.网球
tense  a.紧张的
tension  n.紧张
tent  n.帐篷
tentative  n.试验
tenth  num.第十
term  n.术语
terminal  n.终端机
terrible  a.可怕的
terrify  vt.使恐惧
terror  n.恐怖
test  n.测试
text  n.文本
textbook  n.教科书
than  conj.比
thank  n.谢意
thankful  a.感谢的
that  a.那
the  art.那
theatre  n.戏院
theft  n.盗窃
their  pron.他们的
theirs  pron.他们的
them  pron.他们
theme  n.主题
themselves  pron.他们自己
then  adv.然后
theoretical  a.理论的
theory  n.理论
there  adv.在那里
therefore  adv.因此
thermos  n.热水瓶
these  pron.这些
they  pron.他们
thick  a.厚的
thief  n.小偷
thin  a.薄的
thing  n.事物
think  vt.想
thinking  n.思考
third  num.第三
thirst  n.口渴
thirsty  a.口渴的
thirteen  num.十三
thirty  num.三十
this  pron.这
thorough  a.十分的
those  pron.那些
though  adv.然而
thought  n.想法
thousand  num.千
thread  n.线
three  num.三
thrill  n.震颤
thriller  n.使人激动的东西
throat  n.咽喉
through  adv.穿越
throughout  adv.到处
throw  vt.投
thunder  n.雷
thunderstorm  n.雷暴雨
thus  adv.如此
tick  n.滴答声
ticket  n.票
tidy  n.椅子的背罩
tie  n.带子
tiger  n.老虎
tight  a.紧的
till  prep.直到
time  n.时间
timetable  n.时间表
tin  n.锡
tiny  a.很少的
tip  n.顶
tire  n.轮胎
tired  a.疲累的
tissue  n.薄的织物
title  n.头衔
to  prep.到
toast  n.吐司
tobacco  n.烟草
today  n.今天
together  adv.一起
toilet  n.厕所
tolerate  vt.宽容
tomato  n.番茄
tomb  n.坟墓
tomorrow  n.明天
ton  n.吨
tongue  n.舌
tonight  n.今晚
too  adv.也
tool  n.工具
tooth  n.牙齿
toothache  n.牙痛
toothbrush  n.牙刷
toothpaste  n.牙膏
top  n.顶部
topic  n.主题
tortoise  n.龟
total  a.全体的
totally  adv.完全地
touch  n.触觉
tough  n.恶棍
tour  n.旅游
tourism  n.观光业
tourist  n.观光客
tournament  n.比赛
toward  prep.向
towel  n.手巾
tower  n.塔
town  n.城镇
toy  n.玩具
track  n.轨迹
tractor  n.牵引器
trade  n.贸易
tradition  n.传说
traditional  a.传统的
traffic  n.交通
train  n.火车
trainer  n.训练员
training  n.训练
tram  n.电车轨道
transform  vt.使转换
translate  vt.翻译
translation  n.翻译
translator  n.翻译者
transparent  a.透明的
transport  n.运输
trap  n.圈套
travel  n.旅行
traveler  n.旅行者
treasure  n.宝物
treat  n.宴请
treatment  n.治疗
tree  n.树
tremble  n.战栗
trend  n.趋势
trial  n.审判
triangle  n.三角形
trick  n.诡计
trip  n.旅行
troop  n.军队
trouble  n.烦恼
troublesome  a.麻烦的
truck  n.卡车
true  a.真实的
truly  adv.真实地
trunk  n.树干
trust  n.信任
truth  n.事实
try  n.尝试
tube  n.管
tune  n.歌曲
turkey  n.火鸡
turn  n.转弯
tutor  n.家庭教师
twelfth  num.第十二
twelve  num.十二
twentieth  num.第二十
twenty  num.二十
twice  adv.两次
twin  n.双胞胎中一人
twist  n.一扭
two  num.二
type  n.类型
typewriter  n.打字机
typhoon  n.台风
typical  a.典型的
typist  n.打字员
tyre  n.轮胎
ugly  a.丑陋的
umbrella  n.伞
unable  a.不能的
unbearable  a.无法忍受的
unbelievable  a.难以置信的
uncertain  a.不确定的
uncle  n.叔父
uncomfortable  a.不舒服的
unconditional  a.无条件的
unconscious  a.未意识到的
under  prep.在...之下
underground  n.地下
underline  vt.在...下面划线
understand  vt.理解
understanding  n.理解
undertake  vt.试图
underwear  n.内衣
undivided  a.未分开的
undo  vt.解开
unemployment  n.失业
unfair  a.不公平的
unfit  a.不适当的
unfold  vt.展开
unfortunate  a.不幸的
unfortunately  adv.恐怕
unhappy  a.不快乐的
unhealthy  a.不健康的
uniform  n.制服
unimportant  a.不重要的
union  n.联盟
unique  a.独一无二的
unit  n.单位
unite  vi.联合
universal  a.全世界的
universe  n.宇宙
university  n.大学
unknown  a.不知道的
unless  conj.除非
unlike  a.不像的
unmarried  a.未婚的
unpleasant  a.使人不愉快的
unrest  n.不安的状态
unsafe  a.不安全的
unsuccessful  a.不成功的
until  prep.直到
untrue  a.不真实的
unusual  a.不寻常的
unwilling  a.不愿意的
up  a.向上的
upon  prep.在...之上
upper  a.上面的
upset  a.弄翻的
upstairs  a.楼上的
upward  a.向上的
urban  a.都市的
urge  n.冲动
urgent  a.紧急的
us  pron.我们
use  n.使用
used  a.使用过的
useful  a.有用的
useless  a.无用的
user  n.使用者
usual  a.平常的
usually  adv.通常
vacant  a.空的
vacation  n.假期
vague  a.含糊的
vain  a.无价值的
valid  a.有确实根据的
valley  n.山谷
valuable  a.有价值的
value  n.价值
vanilla  n.香草
variety  n.多样
various  a.不同的
vase  n.花瓶
vast  a.巨大的
veal  n.小牛肉
vegetable  n.蔬菜
vehicle  n.交通工具
version  n.一种描述
vertical  a.垂直的
very  a.真正的
vest  n.背心
via  prep.经由
vice  n.恶习
victim  n.受害人
victory  n.胜利
video  n.影像
videophone  n.电视电话
view  n.视野
viewer  n.观察者
village  n.村庄
villager  n.村民
vinegar  n.醋
violate  vt.违犯
violence  n.猛烈
violent  a.暴力的
violin  n.小提琴
violinist  n.小提琴演奏者
virtue  n.德行
virus  n.病毒
visa  n.签证
visit  n.拜访
visitor  n.参观者
visual  a.视觉的
vital  a.生命的
vivid  a.生动的
vocabulary  n.词汇(量)
voice  n.声音
volcano  n.火山
volleyball  n.排球
voluntary  a.自动的
volunteer  n.志愿者
vote  n.投票
voyage  n.航行
wag  vt.摇摆
wage  n.工资
waist  n.腰部
wait  n.等待
waiter  n.侍者
waitress  n.女侍者
wake  vt.叫醒
walk  n.走
walkman  n.随身听（商标名称）
wall  n.墙
wallet  n.皮夹
walnut  n.胡桃
wander  vi.游荡
want  n.需要的东西
war  n.战争
ward  n.病房
warehouse  n.仓库
warm  a.暖和的
warmth  n.温暖
warn  vt.警告
warning  n.警告
wash  n.洗
washroom  n.盥洗室
waste  n.浪费
watch  n.观察
water  n.水
watermelon  n.西瓜
wave  n.波
wax  n.蜡
way  n.路
wayside  n.路旁
we  pron.我们
weak  a.不牢固的
weakness  n.虚弱
wealth  n.财富
wealthy  a.富有的
wear  n.穿着
weather  n.天气
weatherman  n.气象员
web  n.网
website  n.网站（全球资讯网的主机站）
wedding  n.婚礼
weed  n.杂草
week  n.星期
weekday  n.周日
weekend  n.周末
weekly  n.周刊
weep  n.哭
weigh  vt.称...重量
weight  n.重
welcome  n.欢迎
welfare  n.福利
well  n.井
west  n.西方
western  n.西方人
westerner  n.西方人
westwards  adv.向西
wet  n.湿气
whale  n.鲸
what  pron.什么
whatever  pron.无论什么
wheat  n.小麦
wheel  n.轮子
when  conj.当...的时候
whenever  conj.每当
where  adv.在哪里
wherever  adv.无论哪里
whether  conj.是否
which  pron.哪一个
whichever  pron.无论那一个
while  n.一会儿
whisper  n.耳语
whistle  n.口哨
white  n.白色
who  pron.谁
whole  n.全部
whom  pron.谁
whose  pron.谁的
why  adv.为什么
wide  a.宽的
widespread  a.充分伸展的
wife  n.妻子
wild  n.荒野
wildlife  n.野生动植物
will  n.意志
willing  a.乐意的
willingly  adv.自动地
willingness  n.乐意
win  vt.赢得
wind  n.风
windbreaker  n.防风林
window  n.窗户
windy  a.多风的
wine  n.葡萄酒
wing  n.翅膀
winner  n.胜利者
winter  n.冬季
wipe  n.擦拭
wire  n.电线
wisdom  n.智慧
wise  a.明智的
wish  n.希望
with  prep.和...在一起
withdraw  vt.撤回
within  n.内部
without  prep.没有
witness  n.证人
wolf  n.狼
woman  n.女人
wonder  n.奇迹
wonderful  a.令人惊奇的
woo  vt.追求
wood  n.木材
wooden  a.木制的
woollen  n.毛织品
word  n.话
work  n.工作
workday  n.工作日
worker  n.工人
workforce  n.劳动力
workmate  n.共同工作者
workplace  n.工作场所
works  n.工程
world  n.世界
worldwide  a.全世界的
worm  n.虫
worn  a.用旧的
worried  a.担心的
worry  n.担心
worse  n.更坏的事
worst  n.最坏
worth  n.价值
worthless  a.无价值的
worthwhile  a.值得花时间的
worthy  n.杰出人物
would  aux.将
wound  n.创伤
wounded  a.受伤的
wrestle  n.摔跤
wrinkle  n.皱纹
wrist  n.手腕
write  vt.书写
writing  n.书写
wrong  a.错误的
yard  n.码
yawn  n.哈欠
year  n.年
yell  vi.叫喊
yellow  n.黄色
yes  adv.是
yesterday  n.昨天
yet  adv.还
yoghurt  n.酸乳
you  pron.你
young  a.年轻的
your  pron.你的
yours  pron.你的(东西)
yourself  pron.你自己
yourselves  pron.你们自己
youth  n.年轻
yummy  a.美味的
zebra  n.斑马
zero  n.零
zip  n.尖啸声
zipper  n.拉链
zone  n.地带
zoo  n.动物园
zoom  n.急速上升
